Riferimento,Versione,Predeterminato,Tipo,EAN13,Famiglia,Catalogo,"Tariffa Nazionale",Garanzia,"Etichetta V/F","Foglio dati",Descrizione,masterfile.tender_text,masterfile.codi_duaner,Materiale,Finit,Lungo,Ampiezza,Altezza,Proiezione,"Fonte di luce","Includi una lampadina","Efficienza energetica","Unità masterbox","Prodotto fuori catalogo","Lancio del prodotto","Pesce confezionato (kg)","Weight master box","Peso netto (Kg)","Unità di volume (m3)","Volume Master box (m3)","Length Box 1","Larghezza della scatola 1","Altezza scatola 1","Length Box 2","Larghezza della scatola 2","Altezza scatola 2","Length Box 3","Larghezza della scatola 3","Altezza scatola 3","Length MB 1","Ampiezza MB 1","Altezza MB 1","Length MB 2","Ampiezza MB 2","Altezza MB 2","Length MB 3","Ampiezza MB 3","Altezza MB 3","Watt (W)","Lumen (lm)","Real Lumens (lm)","Temperatura colore LED (K)",CRI,"Fascio di luce","Regolazione dei tipi",IP,IK,"Immagine Web","Immagine d'ambiente 1","Immagine d'ambiente 2","Immagine d'ambiente 3","Immagine di dettaglio 1","Immagine di dettaglio 2",IMC,EE,Fotometria,masterfile.ploma_comercial,Accessori,3D,masterfile.ies,masterfile.ldt,"Codi Kenya","Codi RETILAP","Marocco Codice","Codice Paese 4","Codice Paese 5","Codice Paese 6",Modello
05-2838-21-21,V0,No,"Lampada da lettura",8435381453220,"Book Round Surface",Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-2838-21-21.html,"LAMPADA DA LETTURA BOOK ROUND SURFACE LED 3000K CROMO 28LM","LedsC4 Book Round Surface 05-2838-21-21  Lampada da lettura per uso interno per illuminare verso il basso.   Ottimo rapporto qualità-prezzo. Ottimo comfort visivo. Facile installazione. Alta durabilità per uso intensivo. Materiale della struttura: Acciaio, Alluminio. Finitura struttura: Cromo. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 0.22 Lunghezza del prodotto (mm): 340 Larghezza o diametro del prodotto (mm): 90  Classe 1. IP: IP20. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Potenza massima della sorgente luminosa: 1W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR:  13.0. Rischio fotobiologico: RG2. Flusso reale (lm): 28. Flusso nominale (lm): 94. Lm/W reali: 28. Voltaggio: 3. Dispositivo incluso: Sì. Dispositivo multivoltaggio incluso.",9405119090,"Acciaio, Alluminio",Cromo,340,90,,,"1xLED 1 94.00 lm",Sì,G,6,"Descatalogado IT",2011,"0,6","3,6","0,22","0,007","0,042",260,120,180,,,,,,,,,,,,,,,,,"94,00",28,3000K,80,"Check Photometric file",,IP20,,https://files.ledsc4.com/main-photo/05-2838-21-21,,,,,,https://files.ledsc4.com/imc/05-2838-21-21.html,https://files.ledsc4.com/el/05-2838-21-21.html,https://files.ledsc4.com/fm/05-2838-21-21.html,https://files.ledsc4.com/pl/05-2838-21-21.html,,https://files.ledsc4.com/3d/05-2838-21-21.html,https://files.ledsc4.com/ies/05-2838-21-21.html,https://files.ledsc4.com/ldt/05-2838-21-21.html,,,FX-LED-I,,,,"Book Model 4"
05-2845-21-21,V0,Sì,"Lampada da lettura",8435111066362,"Book Rectangular Surface",Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-2845-21-21.html,"LAMPADA DA LETTURA BOOK RECTANGULAR SURFACE LED 3W 3000K CROMO 125LM","LedsC4 Book Rectangular Surface 05-2845-21-21  Lampada da lettura per uso interno per illuminare verso il basso.   Ottimo rapporto qualità-prezzo. Ottimo comfort visivo. Facile installazione. Alta durabilità per uso intensivo. Materiale della struttura: Acciaio, Alluminio. Finitura struttura: Cromo. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 0.59 Larghezza o diametro del prodotto (mm): 65 Altezza del prodotto (mm): Min 205 Max 445 Fuoriuscita del prodotto: Min 40 Max 230  Classe 1. IP: IP20. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Potenza massima della sorgente luminosa: 3W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR:  19.7. Rischio fotobiologico: RG2. Flusso reale (lm): 125. Flusso nominale (lm): 182. Lm/W reali: 42. Voltaggio: 3. Dispositivo incluso: Sì. Dispositivo multivoltaggio incluso. Potenza totale: 3.",9405119090,"Acciaio, Alluminio",Cromo,,65,"Min 205 Max 445","Min 40 Max 230","1xLED 3 182.00 lm",Sì,E,6,"Descatalogado IT",2011,"0,76","4,56","0,59","0,004","0,024",260,65,185,,,,,,,,,,,,,,,,3,"182,00",125,3000K,80,MEDIUM,,IP20,,https://files.ledsc4.com/main-photo/05-2845-21-21,https://files.ledsc4.com/ambience-photo/1/05-2845-21-21,https://files.ledsc4.com/ambience-photo/2/05-2845-21-21,,https://files.ledsc4.com/detail-photo/1/05-2845-21-21,https://files.ledsc4.com/detail-photo/2/05-2845-21-21,https://files.ledsc4.com/imc/05-2845-21-21.html,https://files.ledsc4.com/el/05-2845-21-21.html,https://files.ledsc4.com/fm/05-2845-21-21.html,https://files.ledsc4.com/pl/05-2845-21-21.html,,https://files.ledsc4.com/3d/05-2845-21-21.html,https://files.ledsc4.com/ies/05-2845-21-21.html,https://files.ledsc4.com/ldt/05-2845-21-21.html,,RETILAP-DECORATIVE,FX-LED-I,,,,"Book Model 2"
DM-0061-N3-00,V0,No,"Incassi a soffitto",8435381496159,"Multidir One LED 180mm Trim",Architectural,,3,"12V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/DM-0061-N3-00.html,"INCASSI A SOFFITTO MULTIDIR ONE LED 180MM TRIM G53 100W GRIGIO IP23","LedsC4 Multidir One LED 180mm Trim DM-0061-N3-00  Incassi a soffitto per uso interno per illuminare verso il basso.   Sistema cardan altamente direzionabile. Sorgente luminosa orientabile. Materiale della struttura: Acciaio, Alluminio. Finitura struttura: Grigio. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 0.96 Lunghezza del prodotto (mm): 180 Larghezza o diametro del prodotto (mm): 180 Altezza del prodotto (mm): 135 Ø del foro per incasso (mm): 160x160 Spessore del soffitto ammesso: 0-25  Classe 3. Prova filo incandescente: 850. IP: IP23. Potenza totale: 100.",9405199090,"Acciaio, Alluminio",Grigio,180,180,135,,,No,"NA EPREL",6,"Descatalogado IT",2011,"1,27","7,62","0,96","0,01","0,06",240,225,150,,,,,,,470,265,470,,,,,,,100,,,,,,,IP23,,https://files.ledsc4.com/main-photo/DM-0061-N3-00,https://files.ledsc4.com/ambience-photo/1/DM-0061-N3-00,,,,,https://files.ledsc4.com/imc/DM-0061-N3-00.html,,,https://files.ledsc4.com/pl/DM-0061-N3-00.html,,https://files.ledsc4.com/3d/DM-0061-N3-00.html,,,,,DW-LED-III,,,,"Multidir One LED 180mm Trim"
DM-0082-14-00,V0,No,"Incassi a soffitto",8435381496203,"Multidir Double LED 299mm Trimless",Architectural,,3,"12V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/DM-0082-14-00.html,"INCASSI A SOFFITTO MULTIDIR DOUBLE LED 299MM TRIMLESS G53 200W 39.9º BIANCO IP2","LedsC4 Multidir Double LED 299mm Trimless DM-0082-14-00  Incassi a soffitto per uso interno per illuminare verso il basso.   Sistema cardan altamente direzionabile. Sorgente luminosa orientabile. Materiale della struttura: Acciaio, Alluminio. Finitura struttura: Bianco. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 2.58 Lunghezza del prodotto (mm): 299 Larghezza o diametro del prodotto (mm): 155 Altezza del prodotto (mm): 135 Ø del foro per incasso (mm): 300x156 Spessore del soffitto ammesso: 0-25  Classe 3. IP: IP23. Potenza totale: 200.",9405199090,"Acciaio, Alluminio",Bianco,299,155,135,,,No,"NA EPREL",4,"Descatalogado IT",2011,"3,09","12,36","2,58","0,025","0,1",390,200,275,,,,,,,420,410,575,,,,,,,200,,978,,,"EXTRA MEDIUM",,IP23,,https://files.ledsc4.com/main-photo/DM-0082-14-00,,,,,,https://files.ledsc4.com/imc/DM-0082-14-00.html,,https://files.ledsc4.com/fm/DM-0082-14-00.html,https://files.ledsc4.com/pl/DM-0082-14-00.html,,https://files.ledsc4.com/3d/DM-0082-14-00.html,https://files.ledsc4.com/ies/DM-0082-14-00.html,https://files.ledsc4.com/ldt/DM-0082-14-00.html,,,DW-LED-III,,,,"Multidir Double LED 299mm Trimless"
DM-0082-60-00,V0,No,"Incassi a soffitto",8435526801091,"Multidir Double LED 299mm Trimless",Architectural,,3,"12V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/DM-0082-60-00.html,"INCASSI A SOFFITTO MULTIDIR DOUBLE LED 299MM TRIMLESS G53 200W NERO IP23","LedsC4 Multidir Double LED 299mm Trimless DM-0082-60-00  Incassi a soffitto per uso interno per illuminare verso il basso.   Sistema cardan altamente direzionabile. Sorgente luminosa orientabile. Materiale della struttura: Acciaio, Alluminio. Finitura struttura: Nero. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 2.58 Lunghezza del prodotto (mm): 299 Larghezza o diametro del prodotto (mm): 155 Altezza del prodotto (mm): 135 Ø del foro per incasso (mm): 300x156 Spessore del soffitto ammesso: 0-25  Classe 3. IP: IP23. Potenza totale: 200.",9405199090,"Acciaio, Alluminio",Nero,299,155,135,,,No,,4,"Descatalogado IT",2011,"3,09","12,36","2,58","0,025","0,1",390,200,275,,,,,,,420,410,575,,,,,,,200,,,,,,,IP23,,https://files.ledsc4.com/main-photo/DM-0082-60-00,,,,,,https://files.ledsc4.com/imc/DM-0082-60-00.html,,,https://files.ledsc4.com/pl/DM-0082-60-00.html,,https://files.ledsc4.com/3d/DM-0082-60-00.html,,,,,DW-LED-III,,,,"Multidir Double LED 299mm Trimless"
ACT-9105-60-00,V0,Sì,Accessori,8435111095928,"Kit Ceiling Surface",Architectural,,3,,https://files.ledsc4.com/ft2/it/ACT-9105-60-00.html,"KIT PER INSTALLAZIONE DA SUPERFICIE NERO SENZA BINARIO","LedsC4 Kit Ceiling Surface ACT-9105-60-00  Accessori per uso interno  Materiale della struttura: ABS. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 0.0.",9405990090,ABS,,,,,,,No,"NA EPREL",1,"Descatalogado IT",2011,"0,09","0,09","0,09","0,001","0,001",100,100,32,,,,,,,,,,,,,,,,,,,,,,,,,https://files.ledsc4.com/main-photo/ACT-9105-60-00,,,,,,https://files.ledsc4.com/imc/ACT-9105-60-00.html,,,https://files.ledsc4.com/pl/ACT-9105-60-00.html,,,,,,,NA-Accessory,,,,
ACT-9106-14-00,V0,Sì,Accessori,8435111095942,ACCESSORY,Architectural,,5,,https://files.ledsc4.com/ft2/it/ACT-9106-14-00.html,"SCATOLA PER INCASSO","LedsC4 ACCESSORY ACT-9106-14-00  Accessori per uso interno  Materiale della struttura: ABS. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 0.1 Ø del foro per incasso (mm): 105x114 Spessore del soffitto ammesso: 0-3.",9405990090,ABS,,,,,,,No,"NA EPREL",1,"Inactivo IT",,"0,1","0,1","0,1","0,001","0,001",130,130,60,,,,,,,,,,,,,,,,,,,,,,,,,https://files.ledsc4.com/main-photo/ACT-9106-14-00,,,,,,https://files.ledsc4.com/imc/ACT-9106-14-00.html,,,https://files.ledsc4.com/pl/ACT-9106-14-00.html,,,,,,,NA-Accessory,,,,
ACT-9106-60-00,V0,Sì,Accessori,8435111095959,ACCESSORY,Architectural,,5,,https://files.ledsc4.com/ft2/it/ACT-9106-60-00.html,"SCATOLA PER INCASSO","LedsC4 ACCESSORY ACT-9106-60-00  Accessori per uso interno  Materiale della struttura: ABS. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 0..",9405990090,ABS,,,,,,,No,"NA EPREL",1,"Inactivo IT",,"0,1","0,1","0,1","0,001","0,001",130,130,60,,,,,,,,,,,,,,,,,,,,,,,,,https://files.ledsc4.com/main-photo/ACT-9106-60-00,,,,,,https://files.ledsc4.com/imc/ACT-9106-60-00.html,,,https://files.ledsc4.com/pl/ACT-9106-60-00.html,,,,,,,NA-Accessory,,,,
71-3454-54-M2,V0,Sì,Profilo,8435111079386,"Lineal Surfaced A",Architectural,"54,3",5,,https://files.ledsc4.com/ft2/it/71-3454-54-M2.html,"PROFILO LINEAL SURFACED A IP20 ALLUMINIO","LedsC4 Lineal Surfaced A 71-3454-54-M2  Profilo per uso interno   Include graffette di fissaggio, chiusure e diffusore. Diffusore di alta omogeneità senza ombre o punti marcati. Materiale della struttura: Alluminio. Finitura struttura: Alluminio anodizzato. Materiale del diffusore: PMMA. Finitura diffusore: Trasparente. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 0.57 Lunghezza del prodotto (mm): 2000 Larghezza o diametro del prodotto (mm): 25 Altezza del prodotto (mm): 19,5  IP: IP20.",9405990090,"Alluminio, PMMA","Alluminio anodizzato, Trasparente",2000,25,"19,5",,,No,"NA EPREL",20,"Discontinuo IT",2011,"1,05",21,"0,57","0,004","0,08",2025,40,40,,,,,,,2045,230,180,,,,,,,,,,,,,,IP20,,https://files.ledsc4.com/main-photo/71-3454-54-M2,https://files.ledsc4.com/ambience-photo/1/71-3454-54-M2,https://files.ledsc4.com/ambience-photo/2/71-3454-54-M2,https://files.ledsc4.com/ambience-photo/3/71-3454-54-M2,,,https://files.ledsc4.com/imc/71-3454-54-M2.html,,https://files.ledsc4.com/fm/71-3454-54-M2.html,https://files.ledsc4.com/pl/71-3454-54-M2.html,https://files.ledsc4.com/ft3/it/71-3454-54-M2.html,https://files.ledsc4.com/3d/71-3454-54-M2.html,https://files.ledsc4.com/ies/71-3454-54-M2.html,https://files.ledsc4.com/ldt/71-3454-54-M2.html,,,NA-Accessory,,,,"Lineal Surface A"
10-4409-21-12,V0,Sì,"Lampade da tavolo",8435111083253,Emy,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/10-4409-21-12.html,"LAMPADE DA TAVOLO EMY E14 9W CROMO 403LM","LedsC4 Emy 10-4409-21-12  Lampade da tavolo per uso interno per illuminare verso il basso.  Il modulo ottico può ruotare facilmente fino a 360º. Materiale della struttura: Alluminio. Finitura struttura: Cromo. Materiale del diffusore: Policarbonato. Finitura diffusore: Fumé, Opal. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 4.18 Larghezza o diametro del prodotto (mm): 205 Altezza del prodotto (mm): Min 540 Max 570 Fuoriuscita del prodotto: Min 260 Max 340  Classe 1. IP: IP20. Potenza totale: 9.",9405299090,"Alluminio, Policarbonato","Cromo, Fumé, Opal",,205,"Min 540 Max 570","Min 260 Max 340",,No,"NA EPREL",1,"Descatalogado IT",2014,"5,18","5,18","4,19","0,05308","0,05308",300,250,625,270,270,85,,,,,,,,,,,,,9,,403,,,"Check Photometric file",,IP20,,https://files.ledsc4.com/main-photo/10-4409-21-12,https://files.ledsc4.com/ambience-photo/1/10-4409-21-12,,,https://files.ledsc4.com/detail-photo/1/10-4409-21-12,https://files.ledsc4.com/detail-photo/2/10-4409-21-12,https://files.ledsc4.com/imc/10-4409-21-12.html,,https://files.ledsc4.com/fm/10-4409-21-12.html,https://files.ledsc4.com/pl/10-4409-21-12.html,,https://files.ledsc4.com/3d/10-4409-21-12.html,https://files.ledsc4.com/ies/10-4409-21-12.html,https://files.ledsc4.com/ldt/10-4409-21-12.html,,RETILAP-DECORATIVE,PR-INC-I,,,,
05-4695-81-82,V0,Sì,"Superficie a parete",8435111086643,Torino,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-4695-81-82.html,"LAMPADE DA PARETE TORINO E27 60 NICHEL SATINATO. PARALUME ESCLUSO.","LedsC4 Torino 05-4695-81-82  Superficie a parete per uso interno per illuminare frontalmente.   Design by Nahtrang. Design senza tempo. Molto personalizzabile: accessori, finiture… Finiture in bagno, di alta qualità. Ottimo rapporto qualità-prezzo. Facile installazione. Collezione completa di prodotti complementari. Alta durabilità per uso intensivo. Sorgente luminosa orientabile. Materiale della struttura: Acciaio. Finitura struttura: Nichel satinato. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 0.58 Larghezza o diametro del prodotto (mm): 140 Altezza del prodotto (mm): 239 Fuoriuscita del prodotto: 249  Classe 1. Prova filo incandescente: 850. IP: IP20. E27. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Potenza massima della sorgente luminosa: 15W. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. Rischio fotobiologico: RG2. Flusso nominale (lm): 182. Voltaggio: 3. LED. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 3W. Ore di vita: 50.000h L80B20. Flusso nominale (lm): 182. Intervallo di tensione / frequenza: 100-240/50-60Hz. Dispositivo incluso: Sì. Dispositivo multivoltaggio incluso. Potenza totale: 18.3.",9405119090,Acciaio,"Nichel satinato",,140,239,249,"1xE27 15 182.00 lm",Sì,E,8,"Descatalogado IT",2011,"1,03","8,24","0,58","0,01","0,08",265,190,170,,,,,,,730,390,285,,,,,,,"18,3","182,00",,,80,,,IP20,,https://files.ledsc4.com/main-photo/05-4695-81-82,,,,,,https://files.ledsc4.com/imc/05-4695-81-82.html,https://files.ledsc4.com/el/05-4695-81-82.html,https://files.ledsc4.com/fm/05-4695-81-82.html,https://files.ledsc4.com/pl/05-4695-81-82.html,https://files.ledsc4.com/ft3/it/05-4695-81-82.html,https://files.ledsc4.com/3d/05-4695-81-82.html,https://files.ledsc4.com/ies/05-4695-81-82.html,https://files.ledsc4.com/ldt/05-4695-81-82.html,,RETILAP-DECORATIVE,FX-INC-I,,,,
05-4695-Y2-82,V0,Sì,"Superficie a parete",8435111086650,Torino,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-4695-Y2-82.html,"LAMPADE DA PARETE TORINO E27 60 MARRONE. PARALUME ESCLUSO.","LedsC4 Torino 05-4695-Y2-82  Superficie a parete per uso interno per illuminare frontalmente.   Design by Nahtrang. Design senza tempo. Molto personalizzabile: accessori, finiture… Finiture in bagno, di alta qualità. Ottimo rapporto qualità-prezzo. Facile installazione. Collezione completa di prodotti complementari. Alta durabilità per uso intensivo. Sorgente luminosa orientabile. Materiale della struttura: Acciaio. Finitura struttura: Marrón envejecido. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 0.58 Larghezza o diametro del prodotto (mm): 140 Altezza del prodotto (mm): 239 Fuoriuscita del prodotto: 249  Classe 1. Prova filo incandescente: 850. IP: IP20. E27. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 15W. Ore di vita: 50.000h L80B20. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Potenza massima della sorgente luminosa: 3W. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. Rischio fotobiologico: RG2. Intervallo di tensione / frequenza: 100-240/50-60Hz. Voltaggio: 3. Dispositivo incluso: Sì. Dispositivo multivoltaggio incluso. Potenza totale: 18.3.",9405119090,Acciaio,"Marrón envejecido",,140,239,249,,Sì,,8,"Descatalogado IT",2011,"1,03","8,24","0,58","0,01","0,08",265,190,170,,,,,,,730,390,285,,,,,,,"18,3",,,,,,,IP20,,https://files.ledsc4.com/main-photo/05-4695-Y2-82,https://files.ledsc4.com/ambience-photo/1/05-4695-Y2-82,,,,,https://files.ledsc4.com/imc/05-4695-Y2-82.html,,,https://files.ledsc4.com/pl/05-4695-Y2-82.html,https://files.ledsc4.com/ft3/it/05-4695-Y2-82.html,https://files.ledsc4.com/3d/05-4695-Y2-82.html,,,,RETILAP-DECORATIVE,FX-INC-I,,,,
30-4398-J7-J7,V0,No,Ventilatore,8435111082614,"Phuket ø1320mm",Forlight,"311,1",5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/30-4398-J7-J7.html,"VENTILATORE PHUKET Ø1320MM MARRONE RAMATO MARRONE","LedsC4 Phuket ø1320mm 30-4398-J7-J7  Ventilatore per uso interno per illuminare verso il basso.   Adatto per un uso intensivo. Materiale della struttura: Acciaio. Finitura struttura: Marrone ramato. Materiale delle pale: ABS. Finitura pale: Marrone. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 8.36 Larghezza o diametro del prodotto (mm): 1320 Altezza del prodotto (mm): 330  Classe 1. IP: IP23. Dispositivo incluso: No.",8414510090,Acciaio,"Marrone ramato",,1320,330,,,No,"NA EPREL",1,"Discontinuo IT",2014,"9,48","9,48","8,36","0,064","0,064",590,340,320,,,,,,,,,,,,,,,,,,,,,,,IP23,,https://files.ledsc4.com/main-photo/30-4398-J7-J7,https://files.ledsc4.com/ambience-photo/1/30-4398-J7-J7,https://files.ledsc4.com/ambience-photo/2/30-4398-J7-J7,https://files.ledsc4.com/ambience-photo/3/30-4398-J7-J7,https://files.ledsc4.com/detail-photo/1/30-4398-J7-J7,,https://files.ledsc4.com/imc/30-4398-J7-J7.html,,,https://files.ledsc4.com/pl/30-4398-J7-J7.html,https://files.ledsc4.com/ft3/it/30-4398-J7-J7.html,https://files.ledsc4.com/3d/30-4398-J7-J7.html,,,,,NA-Accessory,,,,
15-0074-14-05,V0,Sì,"Superficie a soffitto",8435111088166,"Pipe Double",Decorative,"65,51",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/15-0074-14-05.html,"SUPERFICIE A SOFFITTO PIPE DOUBLE GU10 16W BIANCO 605LM","LedsC4 Pipe Double 15-0074-14-05  Superficie a soffitto per uso interno per illuminare verso il basso.   Composizioni deco-tech ideali. Design minimalista. Molto versatile. Molteplici installazioni. Molto personalizzabile: accessori, finiture… Ottimo rapporto qualità-prezzo. Ottimo comfort visivo. Doppia installazione, incasso/superficie. Facile installazione. Collezione completa di prodotti complementari. Alta durabilità per uso intensivo. Sorgente luminosa orientabile. Materiale della struttura: Alluminio, Acciaio. Finitura struttura: Bianco. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 0.82 Lunghezza del prodotto (mm): 204 Larghezza o diametro del prodotto (mm): 68 Altezza del prodotto (mm): 140  Classe 1. Prova filo incandescente: 850. IP: IP23. Potenza totale: 16.",9405199090,"Alluminio, Acciaio",Bianco,204,68,140,,,No,"NA EPREL",6,"Discontinuo IT",2012,"1,12","6,72","0,82","0,005","0,03",240,180,85,,,,,,,380,290,270,,,,,,,16,,605,,,MEDIUM,,IP23,,https://files.ledsc4.com/main-photo/15-0074-14-05,https://files.ledsc4.com/ambience-photo/1/15-0074-14-05,,,,,https://files.ledsc4.com/imc/15-0074-14-05.html,,https://files.ledsc4.com/fm/15-0074-14-05.html,https://files.ledsc4.com/pl/15-0074-14-05.html,https://files.ledsc4.com/ft3/it/15-0074-14-05.html,https://files.ledsc4.com/3d/15-0074-14-05.html,https://files.ledsc4.com/ies/15-0074-14-05.html,https://files.ledsc4.com/ldt/15-0074-14-05.html,,RETILAP-DECORATIVE,FX-INC-I,,,,"Pipe Ceiling Double"
10-1523-21-21,V0,No,"Lampade da tavolo",8435381449995,Elva,Decorative,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/10-1523-21-21.html,"LAMPADE DA TAVOLO ELVA LED 8W 3000K CROMO 301LM","LedsC4 Elva 10-1523-21-21  Lampade da tavolo per uso interno per illuminare verso il basso.   Design senza tempo. Finiture in bagno, di alta qualità. Ottimo comfort visivo. Sorgente luminosa orientabile. Materiale della struttura: Alluminio, Acciaio. Finitura struttura: Cromo. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 1.95 Larghezza o diametro del prodotto (mm): 65 Altezza del prodotto (mm): 550 Fuoriuscita del prodotto: 360  Classe 2. IP: IP20. LED. Nº di portalampada o Leds: 1. Marchio del LED: CITIZEN. Potenza massima della sorgente luminosa: 6W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR:  19.8. Rischio fotobiologico: RG1. Flusso reale (lm): 301. Flusso nominale (lm): 434. Lm/W reali: 38. Intervallo di tensione / frequenza: 100-240. Voltaggio: 9.1. Dispositivo incluso: Sì. Dispositivo multivoltaggio incluso. Potenza totale: 8. Fattore di potenza: 0.49.",9405219090,"Alluminio, Acciaio",Cromo,,65,550,360,"1xLED 6 434 lm",Sì,F,6,"Descatalogado IT",2012,"2,83","16,98","1,95","0,016","0,096",615,225,95,,,,,,,,,,,,,,,,8,434,301,3000K,80,,,IP20,,https://files.ledsc4.com/main-photo/10-1523-21-21,,,,,,https://files.ledsc4.com/imc/10-1523-21-21.html,https://files.ledsc4.com/el/10-1523-21-21.html,https://files.ledsc4.com/fm/10-1523-21-21.html,https://files.ledsc4.com/pl/10-1523-21-21.html,,https://files.ledsc4.com/3d/10-1523-21-21.html,https://files.ledsc4.com/ies/10-1523-21-21.html,https://files.ledsc4.com/ldt/10-1523-21-21.html,,,FX-LED-II,,,,
05-1411-21-F9,V0,Sì,Bagno,8435111098707,"Dresde On",Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-1411-21-F9.html,"BAGNO IP44 DRESDE ON E14 9W CROMO","LedsC4 Dresde On 05-1411-21-F9  Bagno per uso interno per illuminare frontalmente.   Design senza tempo. Facile installazione. Protezione IP, ideale bagno. Alta durabilità per uso intensivo. Materiale della struttura: Acciaio, Alluminio. Finitura struttura: Cromo. Materiale del diffusore: Vetro. Finitura diffusore: Bianco. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 0.9 Larghezza o diametro del prodotto (mm): 58 Altezza del prodotto (mm): 220 Fuoriuscita del prodotto: 110  Classe 1. Prova filo incandescente: 850. IP: IP44. Potenza totale: 9.",9405199090,"Acciaio, Alluminio, Vetro","Cromo, Bianco",,58,220,110,,No,"NA EPREL",6,"Descatalogado IT",2012,"1,32","7,92","0,9","0,008","0,048",215,195,165,,,,,,,410,235,535,,,,,,,9,,,,,,,IP44,,https://files.ledsc4.com/main-photo/05-1411-21-F9,https://files.ledsc4.com/ambience-photo/1/05-1411-21-F9,https://files.ledsc4.com/ambience-photo/2/05-1411-21-F9,,https://files.ledsc4.com/detail-photo/1/05-1411-21-F9,https://files.ledsc4.com/detail-photo/2/05-1411-21-F9,https://files.ledsc4.com/imc/05-1411-21-F9.html,,,https://files.ledsc4.com/pl/05-1411-21-F9.html,,https://files.ledsc4.com/3d/05-1411-21-F9.html,,,,RETILAP-DECORATIVE,FX-INC-I,,,,
